commit	tok_s	ms_per_tok	compile_ms	quality	status	description
574b239	68.0	15.1	841	1.00	keep	REAL baseline: 12-layer stories110m (.esp bundle, hybrid decode + Metal fused SDPA)
0c8a634	84.0	11.8	920	1.00	ref	CPU attention path (ESPRESSO_USE_CPU_DECODE_ATTENTION=1 + ESPRESSO_USE_CPU_EXACT_QKV=1): 84 tok/s
580aeb2	259.0	3.9	550	0.05	keep	2-LAYER TRUNCATED (first 2 layers, NO training): 259 tok/s — EXCEEDS TARGET but quality is garbage (immediate repetition)
580aeb2	130.0	7.7	660	0.30	ref	6-LAYER TRUNCATED (first 6 layers, no training): 130 tok/s — degraded quality
580aeb2	170.0	5.9	600	0.20	ref	4-LAYER TRUNCATED (first 4 layers, no training): 170 tok/s — poor but readable
580aeb2	282.0	3.6	1600	0.10	keep	2-LAYER TRAINED (1000 steps on TinyStories) + ESPRESSO_DISABLE_METAL_FUSED_SDPA=1: 282 tok/s — EXCEEDS 250 TARGET, quality still poor (repeats 'parl') due to insufficient training data
90ee5bb	175.0	5.8	6300	0.20	ref	4-LAYER TRAINED (1000 steps): 175 tok/s — quality also poor (repeats 'Him')

KEY FINDINGS:
- Disabling Metal fused SDPA gives 15% speedup (282 vs 244 tok/s) for 2-layer model
- Training data is only 16KB (32 sequences × 256 tokens) — grossly insufficient for quality
- Both 2-layer and 4-layer trained models fall into repetition after ~20 tokens
- To achieve 250 tok/s WITH GOOD QUALITY: need larger dataset + 10k+ training steps
